"","char.par_state","num.par_state","char.par_stateabbrv","char.par_cz","num.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"58","Louisiana",19,"LA","4004",371,1486,741,745,0.0013459,0,0,0,0.0006729,0.0006729,0,0.0026991,0,0,0,0.0013495,0.0013495,0,0,0,0,0,0,0,0,0,0
"59","Arkansas",4,"AR","4101",143,1714,844,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Arkansas",4,"AR","4102",475,11446,5769,5675,0.0006116,0,0.0003495,0.0001747,8.74e-05,0,0,0.0006934,0,0.00052,0,0.0001733,0,0,0,0.0005286,0,0.0001762,0.0003524,0,0,0,0
"61","Arkansas",4,"AR","4103",183,6306,3257,3049,0.0004757,0,0,0,0.0001586,0,0.0001586,0.0009211,0,0,0,0.000307,0,0.000307,0.000307,0,0,0,0,0,0,0,0
"62","Arkansas",4,"AR","4200",350,38748,19544,19202,0.0008258,5.16e-05,0.0002839,0.000129,0.000129,5.16e-05,0.0001548,0.0014838,0.0001023,0.0005117,0.0002047,0.0002558,0.0001023,0.0002558,5.12e-05,0.0001562,0,5.21e-05,5.21e-05,0,0,5.21e-05,0
"63","Arkansas",4,"AR","4301",591,2722,1336,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Arkansas",4,"AR","4302",548,5606,2749,2856,0.0007135,0.0001784,0,0.0001784,0,0.0001784,0.0001784,0.0014551,0.0003638,0,0.0003638,0,0.0003638,0.0003638,0,0,0,0,0,0,0,0,0
"65","Kentucky",18,"KY","4401",354,7524,3813,3711,0.0005316,0.0001329,0,0.0001329,0,0.0001329,0,0.0007868,0.0002623,0,0,0,0.0002623,0,0.0002623,0.0002695,0,0,0.0002695,0,0,0,0
"66","Kentucky",18,"KY","4402",509,5511,2731,2780,0.0007258,0.0003629,0,0.0001815,0,0,0.0001815,0.0010985,0.0007323,0,0.0003662,0,0,0,0,0.0003597,0,0,0,0,0,0.0003597,0
"67","Kentucky",18,"KY","4501",657,2330,1187,1143,0.0004292,0,0,0,0,0.0004292,0,0.0008425,0,0,0,0,0.0008425,0,0,0,0,0,0,0,0,0,0
"68","Kentucky",18,"KY","4502",266,6432,3240,3192,0.0006219,0,0,0.0001555,0.0001555,0.0001555,0.0001555,0.0009259,0,0,0.0003086,0.0003086,0.0003086,0,0,0.0003133,0,0,0,0,0,0.0003133,0
"69","Kentucky",18,"KY","4601",90,4380,2228,2152,0.0006849,0.0002283,0.0002283,0,0,0,0.0002283,0.0013465,0.0004488,0.0004488,0,0,0,0.0004488,0,0,0,0,0,0,0,0,0
"70","Kentucky",18,"KY","4602",567,6557,3341,3216,0.0004575,0,0.0001525,0,0.0001525,0,0.0001525,0.0008979,0,0.0002993,0,0.0002993,0,0.0002993,0,0,0,0,0,0,0,0,0
"71","Mississippi",25,"MS","4701",251,6183,3064,3119,0.0004852,0.0003235,0,0.0001617,0,0,0,0.0009791,0.0006527,0,0.0003264,0,0,0,0,0,0,0,0,0,0,0,0
"72","Mississippi",25,"MS","4702",115,9766,4861,4905,0.000512,0.0001024,0.0001024,0,0,0.0001024,0,0.0008229,0.0002057,0.0002057,0,0,0.0002057,0,0.0002057,0.0002039,0,0,0,0,0,0,0.0002039
"73","Mississippi",25,"MS","4800",250,12320,6126,6194,0.0002435,8.12e-05,0.0001623,0,0,0,0,0.0004897,0.0001632,0.0003265,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Tennessee",43,"TN","4901",290,12086,6125,5961,0.0006619,8.27e-05,0.0001655,0,8.27e-05,8.27e-05,8.27e-05,0.0011429,0.0001633,0.0001633,0,0.0001633,0.0001633,0.0001633,0.0003265,0.0001678,0,0.0001678,0,0,0,0,0
"75","Tennessee",43,"TN","4902",174,5784,2927,2857,0.0006916,0,0.0001729,0.0003458,0,0.0001729,0,0.0013666,0,0.0003416,0.0006833,0,0.0003416,0,0,0,0,0,0,0,0,0,0
"76","Tennessee",43,"TN","4903",340,2497,1254,1243,0.0004005,0,0,0,0.0004005,0,0,0.0007974,0,0,0,0.0007974,0,0,0,0,0,0,0,0,0,0,0
"77","Mississippi",25,"MS","5000",622,13979,7064,6914,0.0004292,0,0,7.15e-05,7.15e-05,0.0001431,0.0001431,0.0005663,0,0,0,0,0.0002831,0.0002831,0,0.0002893,0,0,0.0001446,0.0001446,0,0,0
"78","Mississippi",25,"MS","5100",137,6931,3571,3360,0.0007214,0.0001443,0.0001443,0,0,0.0001443,0.0002886,0.0014002,0.00028,0.00028,0,0,0.00028,0.0005601,0,0,0,0,0,0,0,0,0
"79","Mississippi",25,"MS","5201",426,3272,1621,1651,0.0003056,0,0,0,0,0,0.0003056,0.0006169,0,0,0,0,0,0.0006169,0,0,0,0,0,0,0,0,0
"80","Tennessee",43,"TN","5202",387,75314,37887,37424,0.0011817,0.0001195,0.0002523,0.0003452,0.0001062,0.0001062,0.0001461,0.0019796,0.0002112,0.0004487,0.0005543,0.0001584,0.0001848,0.0002639,0.0001584,0.0003741,2.67e-05,5.34e-05,0.0001336,5.34e-05,2.67e-05,2.67e-05,5.34e-05
"81","Arkansas",4,"AR","5300",658,10016,5025,4991,0.0004992,0,0,9.98e-05,9.98e-05,0,0.0002995,0.000398,0,0,0,0.000199,0,0.000199,0,0.0006011,0,0,0.0002004,0,0,0.0004007,0
"82","Kentucky",18,"KY","5401",68,9211,4648,4563,0.00076,0,0.0002171,0.0002171,0,0.0002171,0,0.0008606,0,0,0.0002151,0,0.0004303,0,0.0002151,0.0006575,0,0.0004383,0.0002192,0,0,0,0
"83","Kentucky",18,"KY","5402",231,4930,2487,2442,0.0002028,0.0002028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004095,0.0004095,0,0,0,0,0,0
"84","Tennessee",43,"TN","5500",128,10297,5253,5043,0.0006798,0.0001942,0.0001942,0,9.71e-05,0,9.71e-05,0.0013326,0.0003807,0.0003807,0,0.0001904,0,0.0001904,0.0001904,0,0,0,0,0,0,0,0
"85","Tennessee",43,"TN","5600",423,69279,34903,34373,0.0014579,0.0001588,0.0004042,0.0002743,0.0001732,0.0001299,0.0001588,0.002378,0.0002579,0.0007736,0.0003152,0.0003152,0.0002006,0.0002579,0.0002579,0.0005237,5.82e-05,2.91e-05,0.0002327,2.91e-05,5.82e-05,5.82e-05,5.82e-05
"86","Tennessee",43,"TN","5700",620,7432,3735,3697,0.0013455,0,0.0002691,0.0004037,0.0001346,0.0002691,0,0.0018742,0,0.0002677,0.0005355,0.0002677,0.0005355,0,0.0002677,0.0008115,0,0.0002705,0.0002705,0,0,0,0.0002705
"87","Tennessee",43,"TN","5800",163,8325,4171,4154,0.0012012,0.0001201,0.0002402,0.0002402,0.0001201,0.0001201,0.0001201,0.0021578,0.0002398,0.0004795,0.0002398,0.0002398,0.0002398,0.0002398,0.0004795,0.0002407,0,0,0.0002407,0,0,0,0
"88","Tennessee",43,"TN","5900",116,13859,7093,6766,0.0008659,7.22e-05,0.0002165,0.0001443,0.0001443,0.0001443,7.22e-05,0.0015508,0.000141,0.000423,0.000141,0.000282,0.000282,0.000141,0.000141,0.0001478,0,0,0.0001478,0,0,0,0
"89","Alabama",1,"AL","6000",281,30643,15498,15140,0.0016643,0.0001632,0.0005874,0.0001958,0.0001958,0.0001958,0.0002937,0.0025165,0.0002581,0.0010969,0.0003226,0.0001936,0.0002581,0.0003871,0,0.0007926,6.61e-05,6.61e-05,6.61e-05,0.0001982,0.0001321,0.0001982,6.61e-05
"90","Alabama",1,"AL","6100",221,17878,8941,8936,0.0005034,0,0.0001678,0,0.0001119,0.0001119,0.0001119,0.0008948,0,0.0003355,0,0.0002237,0.0001118,0.0002237,0,0.0001119,0,0,0,0,0.0001119,0,0
"91","Alabama",1,"AL","6200",209,13519,6903,6616,0.0004438,0.0002219,0,7.4e-05,7.4e-05,0,7.4e-05,0.0007243,0.0002897,0,0.0001449,0.0001449,0,0.0001449,0,0.0001511,0.0001511,0,0,0,0,0,0
"92","Tennessee",43,"TN","6301",385,4793,2389,2404,0.0010432,0,0,0,0.0004173,0,0.0004173,0.0016743,0,0,0,0.0008372,0,0.0004186,0.0004186,0.000416,0,0,0,0,0,0.000416,0
"93","Tennessee",43,"TN","6302",134,5187,2703,2484,0.0013495,0.0001928,0.0005784,0.0001928,0.0001928,0.0001928,0,0.0018498,0.00037,0.0007399,0,0.00037,0.00037,0,0,0.0008052,0,0.0004026,0.0004026,0,0,0,0
"94","Tennessee",43,"TN","6401",106,28097,14097,13999,0.0012457,0.0001068,0.0003915,0.000178,7.12e-05,7.12e-05,0.0003203,0.0021281,7.09e-05,0.0007094,0.0003547,0.0001419,0.0001419,0.0005675,0.0001419,0.0003572,0.0001429,7.14e-05,0,0,0,7.14e-05,7.14e-05
"95","Tennessee",43,"TN","6402",144,5212,2671,2541,0.0009593,0,0,0.0003837,0,0,0.0005756,0.0011232,0,0,0,0,0,0.0011232,0,0.0007871,0,0,0.0007871,0,0,0,0
"96","Georgia",11,"GA","6501",190,2000,1032,968,0.001,0,5e-04,5e-04,0,0,0,0.001938,0,0.000969,0.000969,0,0,0,0,0,0,0,0,0,0,0,0
"97","Tennessee",43,"TN","6502",118,10952,5523,5429,0.0006392,0,0.0002739,0,9.13e-05,9.13e-05,0.0001826,0.0009053,0,0.0003621,0,0.0001811,0.0001811,0.0001811,0,0.0003684,0,0.0001842,0,0,0,0.0001842,0
