par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,kid_count_g_m,inventor_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,kid_count_g_f,inventor_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f
4402,Richmond,Kentucky,KY,5511,0.0007258,0.0003629,0,0.0001815,0,0,0.0001815,0,2731,0.0010985,0.0007323,0,0.0003662,0,0,0,0,2780,0.0003597,0,0,0,0,0,0.0003597,0
4501,West Liberty,Kentucky,KY,2330,0.0004292,0,0,0,0,0.0004292,0,0,1187,0.0008425,0,0,0,0,0.0008425,0,0,1143,0,0,0,0,0,0,0,0
4502,Hazard,Kentucky,KY,6432,0.0006219,0,0,0.0001555,0.0001555,0.0001555,0.0001555,0,3240,0.0009259,0,0,0.0003086,0.0003086,0.0003086,0,0,3192,0.0003133,0,0,0,0,0,0.0003133,0
4601,Campbellsville,Kentucky,KY,4380,0.0006849,0.0002283,0.0002283,0,0,0,0.0002283,0,2228,0.0013465,0.0004488,0.0004488,0,0,0,0.0004488,0,2152,0,0,0,0,0,0,0,0
4602,Somerset,Kentucky,KY,6557,0.0004575,0,0.0001525,0,0.0001525,0,0.0001525,0,3341,0.0008979,0,0.0002993,0,0.0002993,0,0.0002993,0,3216,0,0,0,0,0,0,0,0
4701,Greenwood,Mississippi,MS,6183,0.0004852,0.0003235,0,0.0001617,0,0,0,0,3064,0.0009791,0.0006527,0,0.0003264,0,0,0,0,3119,0,0,0,0,0,0,0,0
4702,Clarksdale,Mississippi,MS,9766,0.000512,0.0001024,0.0001024,0,0,0.0001024,0,0.0002048,4861,0.0008229,0.0002057,0.0002057,0,0,0.0002057,0,0.0002057,4905,0.0002039,0,0,0,0,0,0,0.0002039
4800,Greenville,Mississippi,MS,12320,0.0002435,0.0000812,0.0001623,0,0,0,0,0,6126,0.0004897,0.0001632,0.0003265,0,0,0,0,0,6194,0,0,0,0,0,0,0,0
4901,Jackson,Tennessee,TN,12086,0.0006619,0.0000827,0.0001655,0,0.0000827,0.0000827,0.0000827,0.0001655,6125,0.0011429,0.0001633,0.0001633,0,0.0001633,0.0001633,0.0001633,0.0003265,5961,0.0001678,0,0.0001678,0,0,0,0,0
4902,Dyersburg,Tennessee,TN,5784,0.0006916,0,0.0001729,0.0003458,0,0.0001729,0,0,2927,0.0013666,0,0.0003416,0.0006833,0,0.0003416,0,0,2857,0,0,0,0,0,0,0,0
