"","char.par_state","num.par_state","char.par_stateabbrv","num.par_cz","char.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","log.num.inventor.na","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","log.num.inventor.g.m.na","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","log.num.inventor.g.f.na","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"81","Arkansas",4,"AR",5300,"West Memphis",10016,5025,4991,0.0004992,-7.60250374090906,0,0,9.98e-05,9.98e-05,0,0.0002995,0.000398,-7.82905855267984,0,0,0,0.000199,0,0.000199,0,0.0006011,-7.41674924791916,0,0,0.0002004,0,0,0.0004007,0
"82","Kentucky",18,"KY",5401,"Bowling Green",9211,4648,4563,0.00076,-7.1821921246839,0,0.0002171,0.0002171,0,0.0002171,0,0.0008606,-7.05788073755977,0,0,0.0002151,0,0.0004303,0,0.0002151,0.0006575,-7.32706579391235,0,0.0004383,0.0002192,0,0,0,0
"85","Tennessee",43,"TN",5600,"Nashville",69279,34903,34373,0.0014579,-6.5307582348535,0.0001588,0.0004042,0.0002743,0.0001732,0.0001299,0.0001588,0.002378,-6.04149548071355,0.0002579,0.0007736,0.0003152,0.0003152,0.0002006,0.0002579,0.0002579,0.0005237,-7.55459155667883,5.82e-05,2.91e-05,0.0002327,2.91e-05,5.82e-05,5.82e-05,5.82e-05
"86","Tennessee",43,"TN",5700,"Tullahoma",7432,3735,3697,0.0013455,-6.61098958779731,0,0.0002691,0.0004037,0.0001346,0.0002691,0,0.0018742,-6.27957337727455,0,0.0002677,0.0005355,0.0002677,0.0005355,0,0.0002677,0.0008115,-7.11662617100963,0,0.0002705,0.0002705,0,0,0,0.0002705
"87","Tennessee",43,"TN",5800,"Dickson",8325,4171,4154,0.0012012,-6.7244342218551,0.0001201,0.0002402,0.0002402,0.0001201,0.0001201,0.0001201,0.0021578,-6.13866609484703,0.0002398,0.0004795,0.0002398,0.0002398,0.0002398,0.0002398,0.0004795,0.0002407,-8.33195921317525,0,0,0.0002407,0,0,0,0
"88","Tennessee",43,"TN",5900,"Clarksville",13859,7093,6766,0.0008659,-7.05174112951052,7.22e-05,0.0002165,0.0001443,0.0001443,0.0001443,7.22e-05,0.0015508,-6.4689843521675,0.000141,0.000423,0.000141,0.000282,0.000282,0.000141,0.000141,0.0001478,-8.81965054945017,0,0,0.0001478,0,0,0,0
"89","Alabama",1,"AL",6000,"Huntsville",30643,15498,15140,0.0016643,-6.39835066437159,0.0001632,0.0005874,0.0001958,0.0001958,0.0001958,0.0002937,0.0025165,-5.98488623174786,0.0002581,0.0010969,0.0003226,0.0001936,0.0002581,0.0003871,0,0.0007926,-7.14019187720794,6.61e-05,6.61e-05,6.61e-05,0.0001982,0.0001321,0.0001982,6.61e-05
"90","Alabama",1,"AL",6100,"Gadsden",17878,8941,8936,0.0005034,-7.59412547526306,0,0.0001678,0,0.0001119,0.0001119,0.0001119,0.0008948,-7.0189103283483,0,0.0003355,0,0.0002237,0.0001118,0.0002237,0,0.0001119,-9.09790494264639,0,0,0,0,0.0001119,0,0
"91","Alabama",1,"AL",6200,"Florence",13519,6903,6616,0.0004438,-7.72013654746578,0.0002219,0,7.4e-05,7.4e-05,0,7.4e-05,0.0007243,-7.23030488676299,0.0002897,0,0.0001449,0.0001449,0,0.0001449,0,0.0001511,-8.79756868868558,0.0001511,0,0,0,0,0,0
"92","Tennessee",43,"TN",6301,"McMinnville",4793,2389,2404,0.0010432,-6.86546236679189,0,0,0,0.0004173,0,0.0004173,0.0016743,-6.39236011150178,0,0,0,0.0008372,0,0.0004186,0.0004186,0.000416,-7.78482529770301,0,0,0,0,0,0.000416,0
"93","Tennessee",43,"TN",6302,"Cookeville",5187,2703,2484,0.0013495,-6.60802112550622,0.0001928,0.0005784,0.0001928,0.0001928,0.0001928,0,0.0018498,-6.29267775384411,0.00037,0.0007399,0,0.00037,0.00037,0,0,0.0008052,-7.12441986419864,0,0.0004026,0.0004026,0,0,0,0
"94","Tennessee",43,"TN",6401,"Chattanooga",28097,14097,13999,0.0012457,-6.68805765807223,0.0001068,0.0003915,0.000178,7.12e-05,7.12e-05,0.0003203,0.0021281,-6.15252571612565,7.09e-05,0.0007094,0.0003547,0.0001419,0.0001419,0.0005675,0.0001419,0.0003572,-7.93721470896193,0.0001429,7.14e-05,0,0,0,7.14e-05,7.14e-05
"95","Tennessee",43,"TN",6402,"Crossville",5212,2671,2541,0.0009593,-6.94930670614037,0,0,0.0003837,0,0,0.0005756,0.0011232,-6.79157352469273,0,0,0,0,0,0.0011232,0,0.0007871,-7.14715525281587,0,0,0.0007871,0,0,0,0
"97","Tennessee",43,"TN",6502,"Cleveland",10952,5523,5429,0.0006392,-7.35529316351221,0,0.0002739,0,9.13e-05,9.13e-05,0.0001826,0.0009053,-7.00724417748288,0,0.0003621,0,0.0001811,0.0001811,0.0001811,0,0.0003684,-7.90634125358312,0,0.0001842,0,0,0,0.0001842,0
"98","Georgia",11,"GA",6600,"Rome",23833,12058,11771,0.0007553,-7.18839553664487,0,0.0002518,8.39e-05,0.0001259,8.39e-05,0.0001259,0.0014099,-6.56423649909296,0,0.0004147,0.0001659,0.0002488,0.0001659,0.0002488,0.0001659,8.5e-05,-9.37285930147396,0,8.5e-05,0,0,0,0,0
"99","Florida",10,"FL",6700,"Tampa",101682,51354,50324,0.0019669,-6.23129657970843,0.0001377,0.000354,0.0003344,0.0002754,0.0002065,0.0004819,0.0030183,-5.80306151999816,0.0001947,0.0005842,0.0004868,0.0004868,0.0003505,0.0006815,0.0002337,0.0008942,-7.01958109416439,7.95e-05,0.0001192,0.0001788,5.96e-05,5.96e-05,0.0002782,0.0001192
